run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,48.269,8,9.717,8.563
2,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,49.059,8,9.625,8.563
3,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,48.978,8,9.295,8.563
4,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,48.748,8,9.784,8.563
5,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,49.878,8,9.682,8.733
6,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,49.848,8,9.707,8.733
7,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,49.764,8,9.225,8.733
8,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,49.783,8,9.606,8.733
9,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,50.194,8,9.597,8.890
10,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,50.158,8,9.658,8.890
11,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,50.196,8,9.663,8.890
12,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,50.188,8,9.418,8.890
13,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,50.124,8,9.433,9.290
14,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,50.114,8,9.424,9.290
15,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,50.091,8,9.490,9.290
16,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,50.108,8,9.483,9.290
17,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,49.618,8,9.106,9.815
18,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,49.656,8,9.160,9.815
19,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,49.605,8,9.138,9.815
20,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,49.596,8,9.135,9.815
21,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,48.549,8,8.392,10.176
22,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,44.007,8,8.397,10.176
23,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,42.945,8,8.352,10.176
24,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,41.798,8,8.217,10.176
25,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,39.875,8,7.319,10.792
26,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,37.700,8,7.228,10.792
27,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,35.809,8,7.075,10.792
28,mlx-community/Qwen3-14B-4bit-DWQ-053125,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,33.913,8,6.989,10.792
