run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,302.617,8,40.766,15.899
2,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,332.629,8,40.593,15.899
3,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,334.217,8,40.533,15.899
4,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,333.935,8,40.557,15.899
5,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,374.106,8,39.776,16.000
6,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,373.951,8,40.235,16.000
7,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,375.397,8,40.285,16.000
8,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,374.833,8,40.259,16.000
9,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,392.523,8,39.684,16.309
10,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,393.462,8,39.402,16.309
11,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,392.817,8,39.665,16.309
12,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,393.452,8,39.608,16.309
13,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,403.420,8,38.833,16.567
14,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,403.546,8,39.115,16.567
15,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,402.156,8,39.102,16.567
16,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,403.346,8,39.103,16.567
17,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,405.435,8,37.394,17.170
18,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,405.343,8,37.780,17.170
19,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,405.146,8,37.195,17.170
20,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,404.401,8,37.866,17.170
21,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,411.048,8,35.598,17.530
22,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,410.990,8,35.705,17.530
23,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,411.027,8,35.700,17.530
24,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,410.934,8,35.246,17.530
25,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,400.418,8,31.857,18.197
26,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,400.093,8,31.554,18.197
27,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,400.408,8,31.885,18.197
28,mlx-community/Qwen3-14B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,400.072,8,31.691,18.197
