run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,508.654,8,106.974,4.903
2,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,599.095,8,106.865,4.903
3,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,599.076,8,106.264,4.903
4,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,601.350,8,106.952,4.903
5,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,680.800,8,105.777,5.089
6,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,682.814,8,103.246,5.089
7,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,681.078,8,104.092,5.089
8,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,682.442,8,103.988,5.089
9,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,721.507,8,101.112,5.403
10,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,721.185,8,101.237,5.403
11,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,721.868,8,100.583,5.403
12,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,721.564,8,101.166,5.403
13,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,731.803,8,97.190,5.634
14,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,731.910,8,98.319,5.634
15,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,731.431,8,98.685,5.634
16,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,732.077,8,98.589,5.634
17,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,730.969,8,89.932,6.128
18,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,731.702,8,94.229,6.128
19,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,731.391,8,93.902,6.128
20,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,731.486,8,91.710,6.128
21,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,744.604,8,81.070,6.480
22,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,743.668,8,80.370,6.480
23,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,744.382,8,81.485,6.480
24,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,743.500,8,79.753,6.480
25,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,715.528,8,68.272,7.000
26,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,715.984,8,68.199,7.000
27,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,715.573,8,66.760,7.000
28,mlx-community/Qwen3-8B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,715.822,8,68.254,7.000
