run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,112.761,8,13.052,4.544
2,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,124.523,8,12.903,4.544
3,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,125.326,8,13.246,4.544
4,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,125.361,8,12.983,4.544
5,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,129.657,8,13.185,4.664
6,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,129.648,8,12.954,4.664
7,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,129.586,8,13.188,4.664
8,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,129.575,8,12.707,4.664
9,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,130.348,8,12.943,4.923
10,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,129.923,8,12.550,4.923
11,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,130.803,8,12.979,4.923
12,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,130.548,8,12.591,4.923
13,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,129.595,8,12.287,5.288
14,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,130.139,8,12.459,5.288
15,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,129.805,8,12.248,5.288
16,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,130.078,8,12.239,5.288
17,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,127.254,8,11.805,5.783
18,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,127.248,8,11.582,5.783
19,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,127.365,8,11.813,5.783
20,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,127.215,8,11.704,5.783
21,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,127.414,8,10.966,6.045
22,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,127.589,8,11.263,6.045
23,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,127.548,8,10.941,6.045
24,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,127.550,8,10.944,6.045
25,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,118.425,8,9.631,6.605
26,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,118.654,8,9.852,6.605
27,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,118.401,8,9.881,6.605
28,mlx-community/Qwen3-4B-8bit,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,118.701,8,9.850,6.605
