run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,521.830,8,85.893,17.385
2,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,616.952,8,88.464,17.385
3,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,613.544,8,89.541,17.385
4,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,612.460,8,89.132,17.385
5,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,895.067,8,87.319,17.516
6,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,894.103,8,87.296,17.516
7,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,893.727,8,86.865,17.516
8,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,897.562,8,85.406,17.516
9,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1060.579,8,77.724,17.844
10,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1050.077,8,74.559,17.844
11,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1060.515,8,82.904,17.844
12,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1061.466,8,82.897,17.844
13,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1186.508,8,79.590,18.063
14,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1179.214,8,71.685,18.063
15,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1185.311,8,75.553,18.063
16,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1187.607,8,76.668,18.063
17,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1233.347,8,73.815,18.610
18,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1234.091,8,75.743,18.610
19,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1234.307,8,73.766,18.610
20,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1235.031,8,74.796,18.610
21,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1214.139,8,69.865,18.833
22,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1214.646,8,65.977,18.833
23,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1211.308,8,68.142,18.833
24,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1214.437,8,68.078,18.833
25,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1088.524,8,59.772,19.244
26,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1089.035,8,58.935,19.244
27,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1088.239,8,60.483,19.244
28,mlx-community/Qwen3-30B-A3B-4bit-DWQ-053125,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1089.193,8,59.819,19.244
