run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,826.744,8,110.971,4.549
2,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,1080.710,8,110.116,4.549
3,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,1057.099,8,95.649,4.549
4,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,128,8,None,None,64,0,2048,128,1050.539,8,98.170,4.549
5,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,1215.092,8,106.304,4.714
6,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,1199.279,8,89.966,4.714
7,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,1169.421,8,86.276,4.714
8,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,256,8,None,None,64,0,2048,256,1206.961,8,110.051,4.714
9,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1314.549,8,106.491,4.994
10,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1315.087,8,105.128,4.994
11,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1315.006,8,106.962,4.994
12,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,512,8,None,None,64,0,2048,512,1316.173,8,106.861,4.994
13,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1336.966,8,99.308,5.336
14,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1338.129,8,102.091,5.336
15,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1339.029,8,101.572,5.336
16,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,1024,8,None,None,64,0,2048,1024,1338.379,8,99.779,5.336
17,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1325.195,8,92.585,5.829
18,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1331.373,8,97.524,5.829
19,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1330.506,8,96.963,5.829
20,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,2048,8,None,None,64,0,2048,2048,1330.321,8,97.733,5.829
21,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1321.692,8,83.414,6.217
22,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1319.941,8,83.498,6.217
23,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1317.656,8,83.582,6.217
24,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,4096,8,None,None,64,0,2048,4096,1319.658,8,83.472,6.217
25,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1212.956,8,69.833,6.664
26,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1210.614,8,69.352,6.664
27,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1210.257,8,68.360,6.664
28,mlx-community/Qwen3-4B-8bit,m2ultra_192gb_76gpu,8192,8,None,None,64,0,2048,8192,1212.292,8,69.132,6.664
