run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,35.548,8,7.197,8.563
2,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,37.230,8,7.210,8.563
3,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,37.335,8,7.146,8.563
4,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,128,8,None,None,64,0,2048,128,37.368,8,7.204,8.563
5,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,37.961,8,7.100,8.733
6,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,38.359,8,7.156,8.733
7,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,38.105,8,7.127,8.733
8,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,256,8,None,None,64,0,2048,256,37.980,8,7.141,8.733
9,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,38.610,8,6.967,8.890
10,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,38.394,8,7.156,8.890
11,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,38.653,8,7.103,8.890
12,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,512,8,None,None,64,0,2048,512,38.421,8,7.045,8.890
13,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,38.354,8,6.829,9.290
14,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,38.628,8,6.881,9.290
15,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,38.632,8,6.917,9.290
16,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,1024,8,None,None,64,0,2048,1024,38.616,8,6.922,9.290
17,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,38.297,8,6.600,9.815
18,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,38.339,8,6.709,9.815
19,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,38.314,8,6.741,9.815
20,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,2048,8,None,None,64,0,2048,2048,38.064,8,6.751,9.815
21,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,38.843,8,6.268,10.176
22,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,38.713,8,6.412,10.176
23,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,38.842,8,6.373,10.176
24,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,4096,8,None,None,64,0,2048,4096,38.849,8,6.361,10.176
25,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,37.914,8,5.871,10.792
26,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,37.897,8,5.935,10.792
27,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,38.042,8,5.950,10.792
28,mlx-community/Qwen3-14B-4bit-DWQ-053125,m1_16gb_8gpu,8192,8,None,None,64,0,2048,8192,37.983,8,5.972,10.792
