run,model,hw_model,n_prompt,n_generate,max_kv_size,kv_bits,kv_group_size,quantized_kv_start,prefill_step_size,prompt_tokens,prompt_tps,generation_tokens,generation_tps,peak_memory_gb
1,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,173.096,8,19.712,4.544
2,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,176.907,8,19.690,4.544
3,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,178.450,8,19.627,4.544
4,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,128,8,None,None,64,0,2048,128,176.453,8,19.767,4.544
5,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,183.843,8,19.457,4.664
6,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,183.015,8,19.559,4.664
7,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,183.333,8,19.612,4.664
8,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,256,8,None,None,64,0,2048,256,183.952,8,19.529,4.664
9,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,185.651,8,19.218,4.923
10,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,185.234,8,19.224,4.923
11,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,185.246,8,19.367,4.923
12,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,512,8,None,None,64,0,2048,512,185.700,8,19.329,4.923
13,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,184.460,8,18.790,5.288
14,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,184.215,8,18.929,5.288
15,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,184.479,8,18.959,5.288
16,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,1024,8,None,None,64,0,2048,1024,184.512,8,18.897,5.288
17,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,180.127,8,17.862,5.783
18,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,180.229,8,17.963,5.783
19,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,180.321,8,17.853,5.783
20,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,2048,8,None,None,64,0,2048,2048,180.172,8,17.887,5.783
21,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,174.408,8,16.313,6.045
22,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,147.155,8,16.095,6.045
23,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,133.237,8,15.631,6.045
24,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,4096,8,None,None,64,0,2048,4096,130.029,8,15.912,6.045
25,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,127.671,8,13.232,6.605
26,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,123.700,8,13.098,6.605
27,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,121.966,8,13.082,6.605
28,mlx-community/Qwen3-4B-8bit,m2_24gb_10gpu,8192,8,None,None,64,0,2048,8192,121.191,8,13.183,6.605
